### SHEET: Sheet1  (248x8)
All Expeditures for			Paul Van Dam		COMMISSION		Washington County
SendinBlue			41898	7.37		E mail system for campaign u	
						updates (monthly fee)	
SendinBlue			41898	0.07		Foreign Xaction fee - website	
						for campaign	
FedEx			41900	14.64		26 color copies for 9/26 Kayenta	
						event	
City Spark			41900	10		Promotion of Meet Commission	
						candidate	
United States Postal Service			41902	98		200stamps	
FedEx			41904	42.49		Foam board LPP poster for	
						events	
Dollar Tree Stores			41904	12.49		Misc office matis and candy for	
						9/25 event	
City Spark			41904	5		Promote 9/23 county commssion	
						debate event	
City Spark			41904	5		Promote 9/24 Virgin Fort Zion	
						candidate event	
City Spark			41904	5		Promote 9/25 Blue Night DSU	
						candidate event	
Man of Two Worlds LLC			41906	100		Kayenta event lighting and	
						support	
Ft Zion/Virgin trading Post			41906	10.02		Pizza candidate forum event	
Coyote Gulch			41906	35.2		Event planning breakfast	
Staples			41906	27.61		Black Ink Cartridge	
Independent Publishing			41907	220		September print and online	
						ads	
Rainbow Printing			41907	223.13		30 yard signs	
Kayenta Development			41908	125		Rental of Kayenta Outdoor	
						Theater	
The Print Store			41908	115.81		100 campaign bumper stickers	
City Spark			41911	5		Promote 9/29 KTIM radio	
						candidate interview	
Canyon Media			41912	1080		radio ad airing during October	
City Spark			41912	10		Promote 10/1 Skin Institute	
						event	
Cherry Creek			41913	1884		radio ad airing during October	
Dianne Baumann			41916	222.07		reimbursment for food	
Independent Publishing			41918	395		october print and online ads	
Spectrum			41918	200		Mobile Ads just before Nov 4th	
EMCEEsquare Media			41919	425		Remaining 1/2 video production	
Power Image			41920	79.06		5 t shirts	
Dollar Tree			41920	5.31		Thank you cards	
Dorothy Engelman			41921	73.33		reimburse for Van Dam share of	
						mailing permit	
Barry Riddoch			41922	189.47		reimbursement for sign materials	
Pro Mailing			41925	1820		1/2 of 1st mailing	
City Spark			41925	10		Promote 10/14 Fox/Perspectives	
						interview	
Southern Utah Live VODDOV			41926	140		Banner ad and video on SUL	
						shows for October	
Spectrum			41926	313.5		10/12 eighth page ad	
Smiths Fuel			41929	20.02		Gasoline	
Rainbow Printing			41927	99.34		11 2 sided yard signs	
Hooray - Engraving Shoppe			41927	47.02		15 2.5 x 2.5 re/white van dam	
						buttons	
Pro Mailing			41928	788.55		2nd mailing	
Facebook			41934	100		LPP Facebok boost	
Hurst Stores Inc			41934	14.6		PVC pipe for banner & mini flags	
Megaplex Theaters			41934	450		ads to run before movies	
Pro Mailing			41935	1412.47		2nd 1/2 of 1st mailing plus	
						adjustment & small towns	
Pro Mailing			41936	168		Hand addressed mailers	
						processed and mailed	
Spectrum			41936	400		Online ads	
Act Blue Fees			41939	179.63		Act Blue fees for 9/4/2014 to	
						10/27/2014 deposits	
### SHEET: Sheet2  (0x0)
### SHEET: Sheet3  (0x0)
