### SHEET: Sheet1  (295x8)
All Expeditures for			Paul Van Dam		COMMISSION		Washington County
Pro Mailing			41928	788.55		2nd mailing	
Facebook			41934	100		LPP Facebok boost	
Hurst Stores Inc			41934	14.6		PVC pipe for banner & mini flags	
Megaplex Theaters			41934	450		ads to run before movies	
Pro Mailing			41935	1412.47		2nd 1/2 of 1st mailing plus	
						adjustment & small towns	
Pro Mailing			41936	168		Hand addressed mailers	
						processed and mailed	
Spectrum			41936	400		Online ads	
Act Blue Fees			41939	179.63		Act Blue fees for 9/4/2014 to	
						10/27/2014 deposits	
SendinBlue			41928	7.37		Email system for campaign ads	
						(monthly fee)	
SendinBlue			41928	0.07		Foreign xaction fee-website	
						for campiagn update	
Spectrum			41941	1523.34		1/2 page ad on Nov 2 - Sunday	
						before the election	
Canyon Media			41941	504		Additional radio ads including	
						42312	
Cherry Creek			41941	500		Additional radio ads including	
						42312	
Rainbow Printing			41941	219.94		1 4x8 Van Dam signs for mobile	
						truck ad	
St George News			41941	500		20K people banner ad (10/30/14)	
KCSG/ME TV			41943	550		30 30-sec ads at $15 each plus	
						$100 set up fee	
"AD" truck			41946	450		Mobile truck ad Friday, Sat and	
						Mon	
SendinBlue			41928	7.37		Email system for campaign ads	
						(monthly fee)	
SendinBlue			41928	0.07		Foreign xaction fee-website	
						for campaign update	
Riverside Chevron			41948	52.5		Gasoline for vehicle for sign	
						take down activity	
Uhaul			41948	28.64		Rental of trailer for campaign	
						sign take down	
Subway			41948	19.04		Lunch with volunteers during	
						sign take down	
Act Blue Fees			41956	5.93		Act Blue fees for 11/13/2014	
						contribution deposit	
SendinBlue			41960	7.37		Email system for campaign ads	
						(monthly fee)	
SendinBlue			41960	0.07		Foreign xaction fee-website	
						for campaign update	
Independent Publishing			41956	175		Banner ad	
Facebook			41974	100		AG post boost 11/1	
Lisa Rutherford			41977	110.23		Reimbursment for 12/6 event	
						food purchase	
SendinBlue			41989	7.37		Email system for campaign ads	
						(monthly fee)	
SendinBlue			41989	0.07		Foreign xaction fee-website	
						for campaign update	
Washington County Democrats			42012	142		Refund for Act Blue campaign	
						donation error & fee error	
Spectrum			41918	-200	Not Done	Mobile Ads just before Nov 4th	
### SHEET: Sheet2  (0x0)
### SHEET: Sheet3  (0x0)
