instrument_type,instrument_number,adoption_date,adopting_motion_no,motion_id,outcome,names_recorded,reading_stage,n_readings,prior_readings,match_confidence,motion_resolution,title,source_file,source_url
ordinance,2015-19,2015-12-01,9,352,Pass,1,,1,,high,unique,"Commissioner Bell moved to adopt Ordinance 2015-19 amending the Weber County Land Use Code Title 104 (Zones), Chapter 11 (Commercial Valley Resort Recreation Zone/CVR-1), Section 4 (Conditional Uses), by adding brewpub and reception/banquet facilities as conditional uses, and Weber County Land Use C",legislative/minutes/2015/2015-12-01_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_12012015.pdf
ordinance,2015-20,2015-12-22,3,360,Pass,1,Second Reading,2,2015-12-22#4,high,unique,Commissioner Bell moved to adopt Ordinance 2015-20 enacting the county option sales and use tax for highways and public transit authorized by 2015 HB 362; Commissioner Ebert seconded.,legislative/minutes/2015/2015-12-22_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_12222015.pdf
ordinance,2015-21,2015-12-22,8,365,Pass,1,Second Reading,1,,high,unique,Commissioner Bell moved to adopt Ordinance 2015-21 amending the Roads Ordinance; Commissioner Ebert seconded.,legislative/minutes/2015/2015-12-22_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_12222015.pdf
ordinance,2016-1,2016-01-12,3,394,Pass,1,Final Reading,1,,high,unique,Commissioner Ebert moved to adopt Ordinance 2016-1 amending certain provisions of the purchasing code; Commissioner Bell seconded.,legislative/minutes/2016/2016-01-12_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_01122016.pdf
ordinance,2016-2,2016-02-02,13,433,Pass,1,,1,,high,unique,"Commissioner Ebert moved to adopt Ordinance 2016-2 vacating a public utility easement in Rolling Drive, a dedicated private street, and a public utility easement located along the southern- most subdivision boundary line adjacent to Lot 107 in the Summit Eden Phase 1D Subdivision, by SMHG Phase 1, L",legislative/minutes/2016/2016-02-02_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_02022016.pdf
ordinance,2016-3,2016-05-03,3,514,Pass,1,Second Reading,1,,high,unique,"Commissioner Ebert moved to adopt Ordinance 2016-3 amending Title 2, Chapter 13-7, of the ordinances relating to the Government Records Access Management Act (GRAMA); Chair Gibson seconded.",legislative/minutes/2016/2016-05-03_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_05032016.pdf
ordinance,2016-5,2016-06-07,9,550,Pass,1,,1,,high,unique,"Commissioner Bell moved to adopt Ordinance 2016-5 vacating a private land drain easement on lots 10, 11, 12, 13 & 17 of Mallard Springs Subdivision at approximately 2475 S. 4000 W.; Chair Gibson seconded.",legislative/minutes/2016/2016-06-07_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_06072016.pdf
ordinance,2016-6,2016-07-05,19,577,Pass,1,,1,,high,unique,Commissioner Bell moved to adopt Ordinance 2016-6 amending the Overnight Watercraft Use Ordinance for Pineview Reservoir; Commissioner Ebert seconded.,legislative/minutes/2016/2016-07-05_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_07052016(1).pdf
ordinance,2016-7,2016-07-19,2,592,Pass,1,,1,,high,unique,"Commissioner Ebert moved to adopt Ordinance 2016-7, amending Title 6, Chapter 22, of the Weber County Fee Ordinance, amending the fee schedule for construction and demolition materials delivered to the Weber County Transfer Station; Commissioner Bell seconded.",legislative/minutes/2016/2016-07-19_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_07192016(1).pdf
ordinance,2016-8,2016-08-02,8,608,Pass,1,,1,,high,unique,Commissioner Ebert moved to adopt Ordinance 2016-8 adopting the Great Salt Lake Minerals Corporation/Compass Minerals Economic Development Project Area Plan as amended; Commissioner Bell seconded.,legislative/minutes/2016/2016-08-02_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_08022016.pdf
ordinance,2016-9,2016-08-23,4,632,Pass,1,,1,,high,unique,Commissioner Ebert moved to adopt Ordinance 2016-9 vacating a public utility easement in Allen Estates Subdivision Phase 2 Lot 27; Chair Bell seconded.,legislative/minutes/2016/2016-08-23_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_08232016.pdf
ordinance,2016-10,2016-08-23,5,633,Pass,1,,1,,high,unique,"Commissioner Ebert moved to adopt Ordinance 2016-10 amending Title 104 (Zones), Chapter 21 (Commercial Valley Zones CV-1 and CV-2) to allow dwelling units in the zone if they were previously approved as part of a development agreement, and to provide specific standards governing them; Chair Bell sec",legislative/minutes/2016/2016-08-23_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_08232016.pdf
ordinance,2016-11,2016-09-06,2,645,Pass,1,Final Reading,1,,high,unique,"Commissioner Gibson moved to adopt Ordinance 2016-11, final reading of an ordinance governing parking citations; Commissioner Ebert seconded.",legislative/minutes/2016/2016-09-06_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_09062016.pdf
ordinance,2016-13,2016-09-27,11,670,Pass,1,,1,,high,unique,Commissioner Ebert moved to adopt Ordinance 2016-13 urn the public meeting and convene the public hearing; Commissioner Gibson seconded.,legislative/minutes/2016/2016-09-27_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_09272016.pdf
ordinance,2016-14,2016-10-11,6,684,Pass,1,,1,,high,unique,Commissioner Gibson moved to adopt Ordinance 2016-14 vacating a road easement for a future right of way in the Gibson Hill Subdivision; Commissioner Ebert seconded.,legislative/minutes/2016/2016-10-11_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_10112016.pdf
ordinance,2016-15,2016-10-18,2,687,Pass,1,Final Reading,1,,high,unique,"Commissioner Gibson moved to adopt Ordinance 2016-15 amending certain fees of the Weber County Fee Ordinance including fees for County Parks, the Golden Spike Event Center, the Ice Sheet and Recreation; Commissioner Ebert seconded.",legislative/minutes/2016/2016-10-18_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_10182016.pdf
ordinance,2016-16,2016-11-01,3,,Pass,1,,2,2016-11-01#2,ambiguous,ambiguous,Commissioner Gibson moved to approve the contract with J&R Rental for the storage of the Sheriff’s Office equipment; Commissioner Ebert seconded.,legislative/minutes/2016/2016-11-01_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_11012016.pdf
ordinance,2016-17,2016-11-08,2,697,Pass,1,,1,,high,unique,Commissioner Ebert moved to adopt Ordinance 2016-17 amending the Weber County Land Use Code to update and clarify provisions related to natural hazards regulations and provide clerical edits; Chair Bell seconded.,legislative/minutes/2016/2016-11-08_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_11082016.pdf
ordinance,2017-1,2017-01-03,5,739,Pass,1,,1,,high,unique,"Commissioner Harvey moved to adopt Ordinance 2017-1 vacating a portion of the Old Snowbasin Road, a dedicated public thoroughfare located at approximately 5923 Snowbasin Road; Commissioner Gibson seconded.",legislative/minutes/2017/2017-01-03_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_01032017.pdf
ordinance,2017-2,2017-01-24,5,766,Pass,1,,1,,high,unique,Commissioner Gibson moved to adopt Ordinance 2017-2 amending the side yard setbacks in the Ogden Valley Destination and Recreation Resort Zone (§104-29) in the County Uniform Land Use Code; Commissioner Harvey seconded.,legislative/minutes/2017/2017-01-24_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_01242017.pdf
ordinance,2017-3,2017-02-21,4,,Pass,1,,2,2017-02-21#3,ambiguous,ambiguous,Commissioner Harvey moved to approve the Contract with Utah Quarter Horses Racing Association for the Flat Track Racing at the Golden Spike Event Center; Commissioner Gibson seconded.,legislative/minutes/2017/2017-02-21_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_02212017.pdf
ordinance,2017-4,2017-02-21,8,797,Pass,1,,1,,high,unique,"Commissioner Gibson moved to adopt Ordinance 2017-4 vacating a 10-foot drainage easement and a 10- foot sewer easement running north to south from Copper Crest, a private road to Spring Park, and a public road located in the Summit Eden Phase 1C Subdivision; Commissioner Harvey seconded.",legislative/minutes/2017/2017-02-21_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_02212017.pdf
ordinance,2017-5,2017-03-07,5,803,Pass,1,,1,,high,unique,Commissioner Harvey moved to adopt Ordinance 2017-5 establishing provisions for the Surveying and Survey Monuments Ordinance; Commissioner Gibson seconded.,legislative/minutes/2017/2017-03-07_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_03072017.pdf
ordinance,2017-6,2017-03-07,6,804,Pass,1,First Reading,2,2017-03-07#7,high,unique,Commissioner Harvey moved to adopt Ordinance 2017-6 establishing a process for administrative appeals; Chair Ebert seconded.,legislative/minutes/2017/2017-03-07_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_03072017.pdf
ordinance,2017-9,2017-03-28,2,825,Pass,1,Final Reading,2,2017-03-28#3,high,unique,Commissioner Gibson moved to adopt Ordinance 2017-9 amending the development service fees; Commissioner Harvey seconded.,legislative/minutes/2017/2017-03-28_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_03282017.pdf
ordinance,2017-10,2017-03-28,11,,Pass,1,,2,2017-03-28#10,ambiguous,ambiguous,Commissioner Harvey moved to approve moving forward with the CDBG projects as discussed; Commissioner Gibson seconded.,legislative/minutes/2017/2017-03-28_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_03282017.pdf
ordinance,2017-11,2017-05-09,10,865,Pass,1,,1,,high,unique,Commissioner Gibson moved to adopt Ordinance 2017-11 amending the Weber County Land Use Code to update and clarify provisions related to public utility substations or structures and provide related clerical edits; Commissioner Harvey seconded.,legislative/minutes/2017/2017-05-09_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_05092017.pdf
ordinance,2017-12,2017-05-09,11,866,Pass,1,,1,,high,unique,Commissioner Gibson moved to adopt Ordinance 2017-12 amending the Weber County Land Use Code to update and clarify provisions related to the definition of a lot of record; Commissioner Harvey seconded.,legislative/minutes/2017/2017-05-09_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_05092017.pdf
ordinance,2017-13,2017-05-09,12,867,Pass,1,,1,,high,unique,Commissioner Gibson moved to adopt Ordinance 2017-13 amending the Weber County Land Use Code to update and clarify provisions related to the definition of a recreation lodge; Commissioner Harvey seconded.,legislative/minutes/2017/2017-05-09_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_05092017.pdf
ordinance,2017-14,2017-05-09,13,868,Pass,1,,1,,high,unique,Commissioner Gibson moved to adopt Ordinance 2017-14 amending the Weber County Land Use Code to update and clarify provisions related to Planning Townships and Special Event; Commissioner Harvey seconded.,legislative/minutes/2017/2017-05-09_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_05092017.pdf
ordinance,2017-15,2017-05-09,14,869,Pass,1,,1,,high,unique,Commissioner Gibson moved to adopt Ordinance 2017-15 amending the Weber County Land Use Code to update and clarify provisions related to the submittal and approval timeframe for a subdivision application; Commissioner Harvey seconded.,legislative/minutes/2017/2017-05-09_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_05092017.pdf
ordinance,2017-16,2017-05-09,15,870,Pass,1,,1,,high,unique,Commissioner Gibson moved to adopt Ordinance 2017-16 amending the Weber County Land Use Code to update and clarify provisions related to the definition of restricted lot; Commissioner Harvey seconded.,legislative/minutes/2017/2017-05-09_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_05092017.pdf
ordinance,2017-17,2017-05-09,16,871,Pass,1,,1,,high,unique,Commissioner Gibson moved to adopt Ordinance 2017-17 amending the Weber County Land Use Code to update and clarify provisions related to standards for single family dwellings; Commissioner Harvey seconded.,legislative/minutes/2017/2017-05-09_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_05092017.pdf
ordinance,2017-18,2017-05-09,17,872,Pass,1,,1,,high,unique,Commissioner Gibson moved to adopt Ordinance 2017-18 amending the Weber County Land Use Code to update and clarify provisions related to projections into a private right-of-way; Commissioner Harvey seconded.,legislative/minutes/2017/2017-05-09_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_05092017.pdf
ordinance,2017-19,2017-05-30,8,890,Pass,1,,1,,high,unique,Commissioner Harvey moved to adopt Ordinance 2017-19 amending the Overnight Watercraft Use Ordinance for Pineview Reservoir; Commissioner Gibson seconded.,legislative/minutes/2017/2017-05-30_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_05302017.pdf
ordinance,2017-20,2017-05-30,9,891,Pass,1,,1,,high,unique,Commissioner Gibson moved to Ordinance 2017-20 amending the Alcoholic Beverages Ordinance for Pineview and Causey Reservoirs; Commissioner Harvey seconded.,legislative/minutes/2017/2017-05-30_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_05302017.pdf
ordinance,2017-21,2017-06-13,9,901,Pass,1,First Reading,2,2017-06-13#8,high,unique,Commissioner Harvey moved to approve the first reading of an ordinance of Weber County amending certain fees to the Weber County Fee Ordinance regarding new overnight watercraft permits for Pineview Reservoir; Commissioner Gibson seconded.,legislative/minutes/2017/2017-06-13_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_06132017.pdf
ordinance,2017-22,2017-06-20,3,907,Pass,1,Second Reading,1,,high,unique,"Commissioner Harvey moved to adopt Ordinance 2017-22, fee ordinance amendments relating to the Weber County Community and Economic Development Department for the Solid Waste Division and an administrative fee relating to disposing of tax sale properties that were struck off to the county; Commission",legislative/minutes/2017/2017-06-20_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_06202017.pdf
ordinance,2017-23,2017-06-20,6,910,Pass,1,Second Reading,1,,high,unique,Commissioner Harvey moved to adopt Ordinance 2017-23 amending certain fees to the Weber County Fee Ordinance regarding new overnight watercraft permits for Pineview Reservoir; Commissioner Gibson seconded.,legislative/minutes/2017/2017-06-20_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_06202017.pdf
ordinance,2017-25,2017-07-11,7,931,Pass,1,First Reading,1,,high,unique,Commissioner Gibson moved to adopt Ordinance 2017-25 relating to the appropriation to a private enterprise project; Commissioner Harvey seconded.,legislative/minutes/2017/2017-07-11_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_07112017.pdf
ordinance,2017-26,2017-07-18,3,936,Pass,1,Final Reading,2,2017-07-18#4,high,unique,"Commissioner Harvey moved to adopt Ordinance 2017-26 amending Title 20 of the Weber County Code of Ordinances, related to fire regulations; Chair Ebert seconded.",legislative/minutes/2017/2017-07-18_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_07182017.pdf
ordinance,2017-28,2017-08-15,2,984,Pass,1,,1,,high,unique,Commissioner Harvey moved to adopt Ordinance 2017-28 establishing a procedure for the review and approval of waivers of penalties under Utah Code Ann. 59-2-307; Commissioner Gibson seconded.,legislative/minutes/2017/2017-08-15_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_08152017.pdf
ordinance,2017-29,2017-09-19,11,1032,Pass,1,,1,,high,unique,"Commissioner Harvey moved to adopt Ordinance 2017-29 vacating the retention basin easement on Lots 4, 5, 6 and 14 of Mallard Springs Subdivision at about 2475 S. 4000 W.; Commissioner Gibson seconded.",legislative/minutes/2017/2017-09-19_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_09192017.pdf
ordinance,2017-31,2017-10-31,2,1075,Pass,1,Final Reading,1,,high,unique,"Commissioner Gibson moved to adopt Ordinance 2017-31 amending Weber County Code: Definitions (101-1-7) and Ogden Valley Signs (Title 110, Chapter 2) to amend provisions related to flags, window signs, and portable signs; Commissioner Harvey seconded.",legislative/minutes/2017/2017-10-31_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_10312017.pdf
ordinance,2017-32,2017-10-31,3,1076,Pass,1,Second Reading,1,,high,unique,Commissioner Harvey moved to adopt Ordinance 2017-32 approving Ogden Canyon Road name changes; Commissioner Gibson seconded.,legislative/minutes/2017/2017-10-31_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_10312017.pdf
ordinance,2017-33,2017-11-28,5,1116,Pass,1,,1,,high,unique,Commissioner Gibson moved to adopt Ordinance 2017-33 amending the following sections of Weber County Code: Applicability (108-2-3) and Ogden Valley Recreation and Resort Zone (108-8-5 and 108-8-13) to allow the Land Use Authority to modify the applicability of certain provisions of the Land Use Code,legislative/minutes/2017/2017-11-28_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_11282017.pdf
ordinance,2017-34,2017-12-19,13,1143,Pass,1,Second Reading,1,,high,unique,Commissioner Gibson moved to adopt Ordinance 2017-34 establishing a Culture Parks and Recreation Special Revenue Fund; Commissioner Harvey seconded.,legislative/minutes/2017/2017-12-19_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_12192017(1).pdf
ordinance,2018-1,2018-01-09,2,1168,Pass,1,Final Reading,2,2018-01-09#3,high,unique,Commissioner Gibson moved to adopt Ordinance 2018-1 modifying Peery's Egyptian Theater’s fee schedule; Commissioner Ebert seconded.,legislative/minutes/2018/2018-01-09_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_01092018(3).pdf
ordinance,2018-2,2018-02-06,9,1205,Pass,1,,1,,high,unique,"Commissioner Ebert moved to adopt Ordinance 2018-2 amending the following Weber County Code sections: Definitions (§101-1-7), Additions and enlargements (§108-12-3), Subdivision plat requirements for nonconforming lots; Exemptions (§108-12-11), and Enlarging nonconforming lots (§108-12-12); Commissi",legislative/minutes/2018/2018-02-06_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_02062018.pdf
ordinance,2018-3,2018-03-20,3,1238,Pass,1,First Reading,1,,high,unique,"Commissioner Ebert moved to adopt Ordinance 2018-3, amendment relating to the Weber County Community and Economic Development Department, Solid Waste Division (Sec. 16-2-9 Solid Waste fees); Commissioner Gibson seconded.",legislative/minutes/2018/2018-03-20_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_03202018.pdf
ordinance,2018-4,2018-04-10,2,1264,Pass,1,Final Reading,1,,high,unique,Commissioner Ebert moved to adopt Ordinance 2018-4 governing parking; Commissioner Gibson seconded.,legislative/minutes/2018/2018-04-10_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_04102018.pdf
ordinance,2018-5,2018-05-01,8,1288,Pass,1,First Reading,1,,high,unique,"Commissioner Gibson moved to adopt Ordinance 2018-5 amending certain sections of the Land Use Code to provide a different method of measuring the height of a building, offer clarifying language for more efficient administration of the new provision, and to add design and aesthetic standards for publ",legislative/minutes/2018/2018-05-01_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_05012018.pdf
ordinance,2018-6,2018-05-08,9,1298,Pass,1,Second Reading,1,,high,unique,"Commissioner Gibson moved to adopt Ordinance 2018-6 amending certain sections of the Land Use Code to provide new open space requirements for cluster subdivisions, with special emphasis on agricultural encouragement, and to offer new or modified definitions and other clerical edits to other sections",legislative/minutes/2018/2018-05-08_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_05082018.pdf
ordinance,2018-7,2018-06-19,3,1332,Pass,1,Final Reading,2,2018-06-19#4,high,unique,Commissioner Jenkins moved to adopt Ordinance 2018-7 amending the Development Service Fees; Commissioner Ebert seconded.,legislative/minutes/2018/2018-06-19_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_06192018.pdf
ordinance,2018-8,2018-07-10,5,1375,Pass,1,Final Reading,1,,high,unique,Commissioner Jenkins moved to adopt Ordinance 2018-8 adding a provision to the Purchasing Code; Chair Harvey seconded.,legislative/minutes/2018/2018-07-10_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_07102018.pdf
ordinance,2018-9,2018-07-31,9,1396,Pass,1,,1,,high,unique,"Commissioner Ebert moved to adopt Ordinance 2018-9 regarding amendments related to the Surplus Property Disposal and moving Title 2, Chapter 9, Article X to a new chapter within Title 2; Chair Harvey seconded.",legislative/minutes/2018/2018-07-31_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_07312018.pdf
ordinance,2018-10,2018-08-14,7,1414,Pass,1,,1,,high,unique,Commissioner Ebert moved to adopt Ordinance 2018-10 vacating a portion of Lot 1 of the Pelican Bluff Subdivision; Commissioner Jenkins seconded.,legislative/minutes/2018/2018-08-14_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_08142018.pdf
ordinance,2018-11,2018-08-21,3,1418,Pass,1,,1,,high,unique,"Commissioner Ebert moved to adopt Ordinance 2018-11 amending the following parts of the Weber County Code: §104-5-7, §104-7-6, and §106-2-4 to add flexible lot width and lot area standards into the subdivision code for the A-1 and A-2 zones in a manner that allows flexibility and diversity of lot ty",legislative/minutes/2018/2018-08-21_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_08212018.pdf
ordinance,2018-12,2018-08-28,12,1433,Pass,1,,1,,high,unique,"Commissioner Ebert moved to adopt Ordinance 2018-12 amending the Weber County Code Title 108, Chapter 15, Standards for Detached Single-Family Dwellings to add standards for single family dwellings with second",legislative/minutes/2018/2018-08-28_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_08282018.pdf
ordinance,2018-13,2018-08-28,13,1434,Pass,1,,1,,high,unique,Commissioner Ebert moved to adopt Ordinance 2018-13 vacating a public utility and drainage easement located along the west property line of lots 33 through 43 of Country Meadows Subdivision; Commissioner Jenkins seconded.,legislative/minutes/2018/2018-08-28_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_08282018.pdf
ordinance,2018-14,2018-09-11,6,1450,Pass,1,,1,,high,unique,Commissioner Ebert moved to adopt Ordinance 2018-14 approving the C-2 zoning with a Development Agreement. Motion died for lack of a second.,legislative/minutes/2018/2018-09-11_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_09112018.pdf
ordinance,2018-15,2018-09-11,8,,Pass,1,,2,2018-09-11#7,ambiguous,ambiguous,Commissioner Ebert moved to adopt Resolution 46-2018 amending the 2003 West Central Weber County General Plan to provide more acreage for neighborhood commercial at the intersection of 4700 West and 12th Street; Commissioner Jenkins seconded.,legislative/minutes/2018/2018-09-11_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_09112018.pdf
ordinance,2018-16,2018-09-18,9,1462,Pass,1,,1,,high,unique,Commissioner Ebert moved to adopt Ordinance 2018-16 vacating public utility easements located on the sides and rear of lots 1-6 and on the sides of lots 7-12 within Henry Flats Cluster Subdivision; Commissioner Jenkins seconded.,legislative/minutes/2018/2018-09-18_commission.md,https://www.webercountyutah.gov/commission/documents/minutes/min_09182018.pdf
